x,y,z,avg,diff,localdata
-3.93936,-1.10066,9.34402,83.586,1.49707,-0.34671,0
-4.15895,-0.994232,9.35779,85.6896,2.10366,1.89709,0
-4.06165,-1.19781,9.10063,87.5008,1.8112,2.18501,0
-4.10866,-1.04168,9.64549,90.1299,2.62911,2.67757,0
-4.11315,-1.00007,9.48143,92.445,2.31507,2.06575,0
-4.09608,-1.1788,9.22876,94.5515,2.10654,3.64472,0
-3.88248,-1.23433,9.20196,96.5968,2.04521,5.83319,0
-3.5093,-1.28852,8.84376,98.0778,1.48102,5.6428,0
-3.51783,-1.36411,8.74781,98.5056,0.427849,6.59832,0
-3.52038,-1.20425,8.74975,98.895,0.389359,5.82489,0
-3.48176,-1.37744,8.71757,99,0.104973,7.14613,0
-3.40677,-1.32295,8.61938,98.7345,-0.265503,7.30742,0
-3.14975,-1.19362,9.04704,98.382,-0.352493,5.80399,0
-3.03883,-1.29735,9.07548,98.0965,-0.285461,4.55946,7.30742
-3.22085,-1.26128,9.04434,97.6515,-0.445015,4.1673,0
-3.32818,-1.25095,8.88807,97.3107,-0.340782,5.00276,0
-3.40617,-1.13868,8.67237,96.3149,-0.995758,4.7084,0
-3.43985,-1.17012,8.85603,95.426,-0.888901,2.05705,0
-3.6048,-0.990939,8.35488,94.3652,-1.06079,0.725281,0
-3.88547,-0.959056,8.19636,92.6274,-1.73781,0.0834351,0
-3.82979,-1.05426,8.25997,91.1393,-1.48811,-1.12749,0
-3.77769,-0.951272,8.3896,90.0283,-1.11101,-1.60526,0
-3.62681,-0.733624,8.5613,89.1355,-0.892853,-2.10495,0
-3.45437,-0.540825,8.29829,88.4417,-0.693787,-1.55457,0
-3.59702,-0.725392,8.3441,87.9622,-0.479462,-4.09474,0
-3.59283,-0.94259,8.36775,87.5506,-0.411591,-6.09808,0
-3.58834,-1.05351,8.70859,87.5387,-0.0119019,-7.66869,0
-3.51709,-0.718955,9.2102,88.1678,0.629044,-7.49919,0
-3.72455,-0.613275,9.2548,88.5869,0.419083,-5.02249,0
-3.6545,-0.46643,9.1108,88.793,0.206116,-2.05933,0
-3.50302,-0.70683,9.11694,88.9258,0.132782,0.945198,0
-3.67022,-0.846939,9.05931,89.2145,0.288719,-0.25,0
-3.62845,-0.943937,9.2307,89.9116,0.697136,1.61518,0
-3.57696,-1.07521,9.3548,90.5261,0.614494,4.69869,0
-3.49074,-0.88975,9.57559,91.8316,1.30551,3.53403,0
-3.56214,-0.887654,9.5922,93.2248,1.39314,2.80451,0
-3.56963,-0.844544,9.63172,94.6135,1.38873,2.44679,0
-3.18508,-0.70713,9.49146,95.5617,0.948204,2.07473,0
-2.89857,-0.369731,9.25495,96.012,0.45031,-0.522293,0
-3.21442,-0.872236,9.31932,97.0655,1.0535,-2.11648,0
-3.33207,-1.22445,9.17397,97.9202,0.854691,-0.466843,0
-3.22355,-1.33956,8.4405,97.8959,-0.0242767,3.01426,0
-3.06173,-1.21383,8.78299,97.7811,-0.114822,4.46213,0
-2.99407,-1.13494,8.54064,96.8736,-0.907463,4.55924,0
-3.01877,-1.07746,8.59198,95.8859,-0.987732,2.75113,0
-2.99213,-1.1523,8.67581,95.1966,-0.689339,-0.0403442,0
-2.97147,-1.12341,8.2712,94.11,-1.08656,-2.45457,0
-2.89962,-1.45527,8.40532,93.1673,-0.942741,-3.68217,0
-2.97372,-1.50287,7.66107,91.3254,-1.84181,-5.61525,0
-2.93405,-1.63206,8.19875,89.8897,-1.4357,-6.80234,0
