Counter, Data, Peaks
2039,22320,
2040,53919,
2041,39393,
2042,23575,
2043,10594,
2044,22635,
2045,29283,
2046,1185,
2047,-39487,
2048,-72430,
2049,-96713,
2050,-97010,
2051,-78018,
2052,-50876,
2053,-47922,
2054,-37720,
2055,-19277,
2056,4903,
2057,16424,
2058,17014,
2059,32612,
2060,62087,
2061,80236,
2062,65607,
2063,28747,
2064,24939,
2065,49857,
2066,61508,
2067,68803,
2068,86196,
2069,98602,
2070,69664,
2071,31065,
2072,-27399,
2073,-50156,
2074,-65203,
2075,-37628,
2076,-28250,
2077,-24184,
2078,-12713,
2079,-19780,
2080,-21268,
2081,-23529,
2082,-27077,
2083,-32777,
2084,-34925,
2085,-24994,
2086,-1850,
2087,2499,
2088,-26371,
2089,69,
2090,45274,
2091,56956,56956,
2092,25156,
2093,-10761,
2094,-14309,
2095,-638,
2096,-3026,
2097,-38115,
2098,-67829,
2099,-89503,
2100,-96302,
2101,-103754,
2102,-83637,
2103,-75272,
2104,-59556,
2105,-43682,
2106,-14175,
2107,-2260,
2108,12023,
2109,34020,
2110,67230,
2111,103530,
2112,90641,
2113,38123,
2114,17392,
2115,27448,
2116,53810,
2117,62943,
2118,63596,
2119,69692,
2120,60327,
2121,9255,
2122,-36521,
2123,-69854,
2124,-68281,
2125,-40446,
2126,-22348,
2127,-10620,
2128,-2696,
2129,-5306,
2130,-7135,
2131,-8576,
2132,-14276,
2133,-13286,
2134,-13961,
2135,-6690,
2136,6323,
2137,3059,
2138,-12594,
2139,-14436,
2140,-940,
2141,22312,22312,
2142,18861,
2143,-19366,
2144,-13696,
2145,14463,
2146,20154,
2147,7346,
2148,-28787,
2149,-46094,
2150,-70934,
2151,-87004,
2152,-64452,
2153,-39030,
2154,-31840,
2155,-13841,
2156,3612,
2157,352,
2158,3775,
2159,16886,
2160,22739,
2161,57027,
2162,84324,
2163,66774,
2164,28602,
2165,16783,
2166,37655,
2167,50904,
2168,56395,
2169,69033,
2170,75196,
2171,57501,
2172,43238,
2173,-23306,
2174,-34908,
2175,-45670,
2176,-44351,
2177,-19809,
2178,-9087,
2179,-10498,
2180,-5905,
2181,-9521,
2182,-8873,
2183,-15251,
2184,-16452,
2185,-5097,
2186,7824,
2187,13583,
2188,-4995,
2189,-10548,
2190,4646,
2191,39556,
2192,54394,54394,
2193,14176,
2194,-24432,
2195,-29217,
2196,-4245,
2197,530,
2198,-24113,
2199,-47252,
2200,-67288,
2201,-78394,
2202,-75559,
2203,-60865,
2204,-62946,
2205,-28836,
2206,-33795,
2207,-9000,
2208,7096,
2209,18154,
2210,52745,
2211,96427,
2212,88924,
2213,35629,
2214,1910,
2215,9627,
2216,43358,
2217,66290,
2218,76475,
2219,67908,
2220,72606,
2221,47144,
2222,26806,
2223,-22797,
2224,-46253,
2225,-42896,
2226,-28155,
2227,-13965,
2228,-5406,
2229,-2842,
2230,-8201,
2231,-8815,
2232,-10944,
2233,-12719,
2234,-15616,
2235,-15969,
2236,-8776,
2237,1782,
2238,-2872,
2239,-11421,
2240,-2889,
2241,21034,
2242,49774,49774,
2243,15867,
2244,8940,
2245,30436,
2246,37131,
2247,14690,
2248,-23317,
2249,-62913,
2250,-91198,
2251,-87534,
2252,-84783,
2253,-59354,
2254,-57155,
2255,-38260,
2256,-30517,
2257,-12842,
2258,-2154,
2259,17546,
2260,30236,
2261,51532,
2262,85331,
2263,75144,
2264,34472,
2265,15428,
2266,28206,
2267,64464,
2268,90545,
2269,97245,
2270,91381,
2271,95436,
2272,53326,
2273,8366,
2274,-53374,
2275,-73260,
2276,-63300,
2277,-38276,
2278,-19575,
2279,-11072,
2280,-13252,
2281,-13343,
2282,-9914,
2283,-15563,
2284,-15727,
2285,-16427,
2286,-17114,
2287,-11525,
2288,-4203,
2289,-5671,
2290,-16827,
2291,-14487,
2292,12826,
2293,50119,
2294,53123,
2295,58152,58152,
2296,77094,
2297,59461,
2298,9100,
2299,-40997,
2300,-75956,
2301,-96472,
2302,-98302,
2303,-102628,
2304,-75132,
2305,-63478,
2306,-58470,
2307,-43577,
2308,-24146,
2309,-6755,
2310,3639,
2311,16969,
2312,52780,
2313,95356,
2314,84491,
2315,38130,
2316,17814,
2317,37247,
2318,75224,
2319,96135,
2320,113866,
2321,123669,
2322,114294,
2323,85240,
2324,21457,
2325,-32509,
2326,-81868,
2327,-88832,
2328,-78101,
2329,-52134,
2330,-24491,
2331,-17403,
2332,-20860,
2333,-28552,
2334,-26797,
2335,-24634,
2336,-23830,
2337,-18272,
2338,-3742,
2339,10145,
2340,-2272,
2341,-10720,
2342,13856,
2343,66323,
2344,79450,79450,
2345,40896,
2346,32404,
2347,41402,
2348,41110,
2349,5373,
2350,-39766,
2351,-78791,
2352,-109326,
2353,-124313,
2354,-118511,
2355,-99675,
2356,-66235,
2357,-64824,
2358,-38999,
2359,-20404,
2360,-5832,
2361,7873,
2362,24123,
2363,65500,
2364,102585,
2365,76655,
2366,39325,
2367,21960,
2368,32048,
2369,53182,
2370,67483,
2371,85446,
2372,89321,
2373,72468,
2374,40622,
2375,-23167,
2376,-80376,
2377,-81890,
2378,-75441,
2379,-41739,
2380,-33925,
2381,-20649,
2382,-23164,
2383,-20327,
2384,-17795,
2385,-19520,
2386,-15717,
2387,-13457,
2388,-4283,
2389,20201,
2390,25242,
2391,10482,
2392,3017,
2393,23051,
2394,53345,53345,
2395,32081,
2396,-24236,
2397,-3151,
2398,11237,
2399,16556,
2400,678,
2401,-29609,
2402,-64604,
2403,-92838,
2404,-95301,
2405,-81606,
2406,-75202,
2407,-65251,
2408,-43838,
2409,-38853,
2410,-17883,
2411,579,
2412,21497,
2413,23126,
2414,42172,
2415,76607,
2416,80387,
2417,42429,
2418,15662,
2419,11990,
2420,37574,
2421,59272,
2422,91071,
2423,101936,
2424,59312,
2425,110982,
2426,-2786,
2427,-38054,
2428,-18759,
2429,-27908,
2430,-11016,
2431,-13032,
2432,-7089,
2433,-12141,
2434,-13159,
2435,-18197,
2436,-20365,
2437,-20146,
2438,-19676,
2439,-19793,
2440,-22073,
2441,-5990,
2442,-6006,
2443,-22403,
2444,-7433,
2445,32232,
2446,83875,
2447,84734,84734,
2448,65562,
2449,67660,
2450,48788,
