Accuracy, Threshold, MoveMeanSize, MinHertz, MaxHertz, StepBuffer, PeakAverage
0.886725,13000,32,1.6,2.8,10,3,
0.886725,9000,32,1.6,2.9,10,3,
0.886624,13000,32,2.1,2.4,10,3,
0.886538,10000,32,1.6,3.1,10,3,
0.886538,9000,32,1.6,3.1,10,3,
0.886511,12000,32,2.2,2.6,10,3,
0.886511,13000,32,2.2,2.6,10,3,
0.886317,9000,32,1.6,3,10,3,
0.886317,8000,32,1.6,3,10,3,
0.886317,12000,32,1.6,2.9,10,3,
0.886317,10000,32,1.6,3,10,3,
0.886317,11000,32,1.6,2.9,10,3,
0.885745,13000,32,1.7,2.4,10,3,
0.885722,13000,32,1.6,3.1,10,3,
0.885587,15000,32,2.1,2.5,10,3,
0.885501,13000,32,1.6,3,10,3,
0.885336,12000,32,1.7,2.4,10,3,
0.884992,11000,32,2.1,2.4,10,3,
0.884791,11000,32,2.2,2.9,10,3,
0.884705,15000,32,2.2,3,10,3,
0.88452,14000,32,1.7,2.4,10,3,
0.884276,13000,32,1.6,2.9,10,3,
0.884177,15000,32,2.2,3.2,10,3,
0.884118,11000,32,2.2,2.7,10,3,
0.883894,13000,32,1.9,2.3,10,3,
0.883894,15000,32,1.9,2.3,10,3,
0.883894,14000,32,1.9,2.3,10,3,
0.883704,15000,32,1.7,2.4,10,3,
0.883589,8000,32,2.2,2.8,10,3,
0.88346,15000,32,1.6,3,10,3,
0.88346,15000,32,1.6,2.8,10,3,
0.88346,14000,32,1.6,2.8,10,3,
0.88346,14000,32,1.6,3,10,3,
0.882865,15000,32,1.6,3.1,10,3,
0.882865,14000,32,1.6,3.1,10,3,
0.882751,12000,32,2.2,2.9,10,3,
0.882236,14000,32,1.6,2.9,10,3,
0.882236,15000,32,1.6,2.9,10,3,
0.882196,8000,32,2.2,3.1,10,3,
0.880732,9000,32,2.2,2.8,10,3,
0.880324,10000,32,2.2,2.8,10,3,
0.879682,9000,32,1.8,2.2,10,3,
0.879277,14000,32,2.1,2.4,10,3,
0.879274,10000,32,1.8,2.2,10,3,
0.879274,11000,32,1.8,2.2,10,3,
0.87897,10000,32,1.6,2.7,10,3,
0.87897,9000,32,1.6,2.7,10,3,
0.87897,8000,32,1.6,2.7,10,3,
0.878871,11000,32,2.2,3.2,10,3,
0.878866,8000,32,1.8,2.2,10,3,
0.878824,8000,32,1.9,2.2,10,3,
0.878794,8000,32,2.2,2.5,10,3,
0.878562,11000,32,1.6,2.7,10,3,
0.878562,13000,32,1.6,2.7,10,3,
0.878562,12000,32,1.6,2.7,10,3,
0.878463,8000,32,2.2,3.2,10,3,
0.878386,10000,32,2.2,2.5,10,3,
0.878261,13000,32,2.2,2.9,10,3,
0.877686,9000,32,1.6,2.6,10,3,
0.877686,8000,32,1.6,2.6,10,3,
0.876651,12000,32,2.2,2.8,10,3,
0.876651,11000,32,2.2,2.8,10,3,
0.876521,14000,32,1.6,2.7,10,3,
0.876521,15000,32,1.6,2.7,10,3,
0.876461,10000,32,1.6,2.6,10,3,
0.876461,11000,32,1.6,2.6,10,3,
0.876422,10000,32,2.2,3.2,10,3,
0.876012,15000,32,2.1,2.4,10,3,
0.876008,13000,32,1.8,2.2,10,3,
0.876008,14000,32,1.8,2.2,10,3,
0.876008,12000,32,1.8,2.2,10,3,
0.875645,12000,32,1.6,2.6,10,3,
0.8756,15000,32,1.8,2.2,10,3,
0.875559,9000,32,1.9,2.2,10,3,
0.875529,13000,32,2.2,2.5,10,3,
0.875237,13000,32,1.6,2.6,10,3,
0.875197,9000,32,2.2,3.2,10,3,
0.87511,9000,32,1.7,2.3,10,3,
0.87511,8000,32,1.7,2.3,10,3,
0.875018,14000,32,2.2,2.8,10,3,
0.874293,10000,32,1.7,2.3,10,3,
0.873793,13000,32,2.2,2.8,10,3,
0.873604,15000,32,1.6,2.6,10,3,
0.873604,14000,32,1.6,2.6,10,3,
0.873477,11000,32,1.7,2.3,10,3,
0.873363,14000,32,2.2,2.9,10,3,
0.872294,10000,32,1.9,2.2,10,3,
0.872253,12000,32,1.7,2.3,10,3,
0.871885,11000,32,1.9,2.2,10,3,
0.871436,14000,32,1.7,2.3,10,3,
0.871436,13000,32,1.7,2.3,10,3,
0.870936,15000,32,2.2,2.8,10,3,
0.87072,8000,32,1.6,2.5,10,3,
0.87072,9000,32,1.6,2.5,10,3,
0.870661,12000,32,1.9,2.2,10,3,
0.870649,12000,32,2.2,2.7,10,3,
0.87062,15000,32,1.7,2.3,10,3,
0.870253,15000,32,1.9,2.2,10,3,
0.86868,11000,32,1.6,2.5,10,3,
